,borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,price_per_sqft,latitude,longitude
0,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,376,43.0,S1,743 EAST 6TH STREET,,10009.0,1.0,1.0,2.0,2090.0,3680.0,1940.0,1,S1,3200000.0,7/24/19,869.5652173913044,40.7229003,-73.9773749
1,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61.0,A4,189 EAST 7TH STREET,,10009.0,1.0,0.0,1.0,987.0,2183.0,1860.0,1,A4,0.0,9/25/19,0.0,40.72493250000001,-73.9805121
131,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,693,39.0,S1,504 WEST 22ND STREET,,10011.0,1.0,1.0,2.0,1102.0,5390.0,1910.0,1,S1,0.0,2/28/19,0.0,40.7471006,-74.0051916
132,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,720,6.0,A4,483 WEST 22ND STREET,,10011.0,1.0,0.0,1.0,1562.0,4150.0,1901.0,1,A4,6725000.0,9/3/19,1620.4819277108436,40.7469931,-74.004072
133,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,764,49.0,A9,218 WEST 15TH STREET,,10011.0,1.0,0.0,1.0,2141.0,3935.0,1910.0,1,A9,2421900.0,5/22/19,615.4764930114359,40.7395393,-74.00025819999999
134,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,768,8.0,A4,253 WEST 18TH STREET,,10011.0,1.0,0.0,1.0,1521.0,6984.0,1901.0,1,A4,12709140.0,4/11/19,1819.7508591065289,40.7421402,-74.00001379999999
1489,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,429,19.0,S1,113 EAST 2ND STREET,,10009.0,1.0,1.0,2.0,2648.0,10000.0,1900.0,1,S1,7400000.0,2/5/19,740.0,40.7234243,-73.98711829999999
1490,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,448,16.0,A4,64 EAST 7TH STREET,,10003.0,1.0,0.0,1.0,2271.0,5299.0,1899.0,1,A4,15750000.0,5/14/19,2972.2589167767505,40.7273703,-73.98707770000001
1491,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,452,34.0,S1,169 FIRST AVENUE,,10003.0,1.0,1.0,2.0,2317.0,2760.0,1901.0,1,S1,0.0,5/23/19,0.0,40.72916559999999,-73.9845084
1492,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,452,34.0,S1,169 1 AVENUE,,10003.0,1.0,1.0,2.0,2317.0,2760.0,1901.0,1,S1,14000000.0,11/25/19,5072.463768115942,40.72916559999999,-73.9845084
1493,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,466,45.0,A9,125 EAST 10TH STREET,,10003.0,1.0,0.0,1.0,1324.0,3225.0,1901.0,1,A9,7650000.0,10/11/19,2372.093023255814,40.7303668,-73.9877559
1494,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,466,46.0,A7,123 EAST 10TH STREET,,10003.0,1.0,0.0,1.0,1324.0,2385.0,1899.0,1,A7,7350000.0,6/28/19,3081.7610062893077,40.730407,-73.987735
3111,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,526,66.0,A4,186 SULLIVAN STREET,,10012.0,1.0,0.0,1.0,2252.0,3960.0,1899.0,1,A4,13125000.0,6/28/19,3314.393939393939,40.7285002,-74.00089679999999
3112,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,551,115.0,A9,6 MAC DOUGAL ALLEY,,10011.0,1.0,0.0,1.0,950.0,1284.0,1900.0,1,A9,0.0,3/9/19,0.0,40.7324304,-73.99808019999999
3113,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,572,12.0,A4,60 WEST 9TH STREET,,10011.0,1.0,0.0,1.0,2348.0,5065.0,1900.0,1,A4,9800000.0,6/27/19,1934.8469891411648,40.7338332,-73.9986428
3114,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,576,48.0,A4,11 WEST 12TH STREET,,10011.0,1.0,0.0,1.0,2581.0,8125.0,1910.0,1,A4,19900000.0,6/14/19,2449.230769230769,40.735118,-73.99504999999999
3115,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,576,64.0,A4,45 WEST 12TH STREET,,10011.0,1.0,0.0,1.0,1024.0,1656.0,1901.0,1,A4,6600000.0,2/1/19,3985.507246376812,40.7355358,-73.996191
3724,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,586,55.0,S1,16 MORTON STREET,,10014.0,1.0,1.0,2.0,2250.0,5662.0,1905.0,1,S1,14150000.0,3/25/19,2499.1169198163198,40.7310354,-74.0037316
3725,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,587,49.0,A4,51 BARROW STREET,,10014.0,1.0,0.0,1.0,800.0,1045.0,1899.0,1,A4,0.0,7/22/19,0.0,40.7319679,-74.0043858
3726,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,587,65.0,A4,15 COMMERCE STREET,,10014.0,1.0,0.0,1.0,840.0,1638.0,1899.0,1,A4,6000000.0,6/26/19,3663.0036630036625,40.7318679,-74.0042251
3727,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,590,42.0,A5,23 CORNELIA STREET,,10014.0,1.0,0.0,1.0,2056.0,3357.0,1899.0,1,A5,11500000.0,2/5/19,3425.677688412273,40.7315994,-74.0022625
3728,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,592,60.0,A7,146 WAVERLY PLACE,,10014.0,1.0,0.0,1.0,2158.0,6118.0,1905.0,1,A7,17400000.0,6/28/19,2844.0666884602806,40.7331497,-74.0008738
3729,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,593,41.0,S1,22 CHRISTOPHER STREET,,10014.0,1.0,1.0,2.0,1235.0,2739.0,1910.0,1,S1,5500000.0,1/21/19,2008.032128514056,40.7337672,-74.0007361
3730,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,602,77.0,A4,121 LEROY STREET,,10014.0,1.0,0.0,1.0,0.0,0.0,2017.0,1,A4,11291873.0,6/27/19,inf,40.7305426,-74.0079647
3731,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,603,61.0,A4,95 BARROW STREET,,10014.0,1.0,0.0,1.0,900.0,2592.0,1899.0,1,A4,6750000.0,10/15/19,2604.1666666666665,40.7315763,-74.0070714
3732,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,607,50.0,A4,109 WEST 11TH STREET,,10011.0,1.0,0.0,1.0,1665.0,4060.0,1899.0,1,A4,11200000.0,5/22/19,2758.6206896551726,40.7357713,-73.99868730000001
3733,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,612,53.0,A4,8 PERRY STREET,,10014.0,1.0,0.0,1.0,2097.0,4214.0,1899.0,1,A4,12600000.0,10/18/19,2990.033222591362,40.7357108,-74.0012579
3734,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,613,49.0,A4,208 WEST 11TH STREET,,10014.0,1.0,0.0,1.0,1062.0,3040.0,1910.0,1,A4,8900000.0,4/4/19,2927.631578947369,40.7363731,-74.0016198
3735,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,614,47.0,A4,243 WAVERLY PLACE,,10014.0,1.0,0.0,1.0,1100.0,3068.0,1899.0,1,A4,8000000.0,6/19/19,2607.561929595828,40.7367584,-74.0018889
3736,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,615,21.0,A4,252 WEST 12 STREET,,10014.0,1.0,0.0,1.0,1764.0,4073.0,1910.0,1,A4,19000000.0,6/27/19,4664.866191996071,40.73745590000001,-74.0027216
3737,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,620,62.0,A4,70 CHARLES STREET,,10014.0,1.0,0.0,1.0,910.0,2984.0,1899.0,1,A4,4950000.0,6/26/19,1658.8471849865953,40.734741,-74.0034429
3738,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,620,64.0,A4,66 CHARLES STREET,,10014.0,1.0,0.0,1.0,910.0,2880.0,1899.0,1,A4,9750000.0,4/8/19,3385.416666666666,40.7347606,-74.00331109999999
3739,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,623,42.0,A4,288 WEST 4TH STREET,,10014.0,1.0,0.0,1.0,1200.0,3664.0,1910.0,1,A4,0.0,12/24/19,0.0,40.7364554,-74.003766
3740,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,625,14.0,A4,613 HUDSON STREET,,10014.0,1.0,0.0,1.0,600.0,2080.0,1899.0,1,A4,5100000.0,1/17/19,2451.923076923077,40.7377758,-74.00584409999999
3741,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,626,44.0,S0,37 8TH AVENUE,,10014.0,1.0,2.0,3.0,803.0,5803.0,1901.0,1,S0,4900000.0,1/29/19,844.3908323281063,40.7383542,-74.00412539999999
3742,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,630,34.0,A9,687 GREENWICH STREET,,10014.0,1.0,0.0,1.0,711.0,2844.0,1989.0,1,A9,0.0,9/20/19,0.0,40.7332435,-74.0071902
3743,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,637,55.0,A4,370 WEST 11TH STREET,,10014.0,1.0,0.0,1.0,2160.0,4400.0,1905.0,1,A4,2900000.0,7/24/19,659.0909090909091,40.7352259,-74.00948489999999
4297,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1751,28.0,A5,49 EAST 126 STREET,,10035.0,1.0,0.0,1.0,1998.0,4401.0,1905.0,1,A5,0.0,5/31/19,0.0,40.8062817,-73.939369
4298,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1754,8.0,A4,11 EAST 129 STREET,,10035.0,1.0,0.0,1.0,1081.0,2800.0,1905.0,1,A4,1550000.0,8/22/19,553.5714285714286,40.8087983,-73.9395364
4299,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1829,125.0,A4,221 WEST 113 STREET,,10026.0,1.0,0.0,1.0,1682.0,3470.0,1910.0,1,A4,0.0,5/31/19,0.0,40.8017716,-73.9545461
4300,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1903,25.0,A4,109 WEST 118 STREET,,10026.0,1.0,0.0,1.0,2018.0,4480.0,1910.0,1,A4,0.0,1/23/19,0.0,40.803832,-73.9493801
4301,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1917,121.0,A9,123 W 132 STREET,,10027.0,1.0,0.0,1.0,1699.0,3400.0,1910.0,1,A9,2230000.0,1/4/19,655.8823529411766,40.81277679999999,-73.9431946
4302,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1921,24.0,A9,115 WEST 136 STREET,,10030.0,1.0,0.0,1.0,1665.0,3000.0,1910.0,1,A9,1800000.0,4/16/19,600.0,40.8153198,-73.9411141
4303,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,6.0,A9,261 WEST 138 STREET,,10030.0,1.0,0.0,1.0,1699.0,3644.0,1910.0,1,A9,0.0,5/31/19,0.0,40.8183733,-73.94442049999999
4304,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,17.0,A4,233 WEST 138 STREET,,10030.0,1.0,0.0,1.0,1699.0,4480.0,1899.0,1,A4,0.0,5/31/19,0.0,40.8180018,-73.94357099999999
4305,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,24.0,A4,215 WEST 138TH STREET,,10030.0,1.0,0.0,1.0,1699.0,4400.0,1910.0,1,A4,2575000.0,9/11/19,585.2272727272727,40.8177498,-73.94301990000001
4306,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,147.0,A5,230 WEST 139 STREET,,10030.0,1.0,0.0,1.0,1699.0,4216.0,1910.0,1,A5,1719000.0,9/26/19,407.7324478178368,40.8182884,-73.9433236
4307,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2025,2.0,A5,265 WEST 139 STREET,,10030.0,1.0,0.0,1.0,1898.0,2964.0,1920.0,1,A5,0.0,2/26/19,0.0,40.819103,-73.944227
4308,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2025,26.0,A5,209 WEST 139 STREET,,10030.0,1.0,0.0,1.0,1915.0,3952.0,1920.0,1,A5,0.0,5/31/19,0.0,40.8183361,-73.9423999
4309,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2050,27.0,A4,327 CONVENT AVENUE,,10031.0,1.0,0.0,1.0,2000.0,4720.0,1899.0,1,A4,3450000.0,7/9/19,730.9322033898304,40.82348,-73.946709
4310,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2050,62.0,A9,422 WEST 144 STREET,,10031.0,1.0,0.0,1.0,1280.0,3619.0,1899.0,1,A9,0.0,12/6/19,0.0,40.8236255,-73.946254
4311,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2050,81.0,A9,14 HAMILTON TERRACE,,10031.0,1.0,0.0,1.0,1600.0,3904.0,1901.0,1,A9,0.0,6/19/19,0.0,40.822437,-73.94704999999999
5046,1,HARLEM-EAST,01 ONE FAMILY DWELLINGS,1,1638,46.0,A5,168 EAST 111 STREET,,10029.0,1.0,0.0,1.0,1817.0,3312.0,1900.0,1,A5,6900000.0,6/13/19,2083.333333333333,40.7950259,-73.94339719999999
5047,1,HARLEM-EAST,01 ONE FAMILY DWELLINGS,1,1688,15.0,S1,333 EAST 116 STREET,,10029.0,1.0,1.0,2.0,1682.0,3200.0,1899.0,1,S1,0.0,10/10/19,0.0,40.796693,-73.936312
5048,1,HARLEM-EAST,01 ONE FAMILY DWELLINGS,1,1708,24.0,A9,271 PLEASANT AVENUE,,10029.0,1.0,0.0,1.0,928.0,2501.0,1890.0,1,A9,1.0,4/1/19,0.00039984006397441024,40.7941262,-73.9341566
5049,1,HARLEM-EAST,01 ONE FAMILY DWELLINGS,1,1796,132.0,S1,350 EAST 120 STRET,,10035.0,1.0,1.0,2.0,807.0,2304.0,1899.0,1,S1,700000.0,11/4/19,303.8194444444445,40.7986406,-73.9340418
5284,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2058,6.0,A9,465 WEST 141 STREET,,10031.0,1.0,0.0,1.0,1799.0,6264.0,1920.0,1,A9,0.0,5/31/19,0.0,40.822634,-73.948739
5285,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2059,26.0,A4,466 WEST 144TH STREET,,10031.0,1.0,0.0,1.0,2098.0,4716.0,1899.0,1,A4,3600000.0,8/29/19,763.3587786259543,40.824152,-73.9477239
5286,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2059,38.0,A4,463 WEST 144 STREET,,10031.0,1.0,0.0,1.0,1998.0,3934.0,1901.0,1,A4,0.0,4/5/19,0.0,40.824483,-73.94732700000002
5287,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2061,115.0,A9,389 CONVENT AVENUE,,10031.0,1.0,0.0,1.0,800.0,2560.0,1910.0,1,A9,1100000.0,11/25/19,429.6875,40.82550639999999,-73.9453849
5288,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2062,48.0,A4,408 CONVENT AVENUE,,10031.0,1.0,0.0,1.0,1275.0,3536.0,1899.0,1,A4,0.0,5/31/19,0.0,40.8263812,-73.9452357
5289,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2062,145.0,A9,417 CONVENT AVENUE,,10031.0,1.0,0.0,1.0,1500.0,4520.0,1901.0,1,A9,0.0,11/14/19,0.0,40.8263413,-73.9446846
5290,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2063,12.0,A4,420 CONVENT AVENUE,,10031.0,1.0,0.0,1.0,1419.0,4275.0,1926.0,1,A4,0.0,10/15/19,0.0,40.8267659,-73.9449601
5291,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2073,15.0,A4,533 WEST 141 STREET,,10031.0,1.0,0.0,1.0,1232.0,2475.0,1920.0,1,A4,2300000.0,3/26/19,929.2929292929292,40.8233269,-73.9509763
5292,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2074,154.0,A9,526 WEST 143 STREET,,10031.0,1.0,0.0,1.0,1507.0,3392.0,1899.0,1,A9,1800000.0,8/13/19,530.6603773584906,40.8245549,-73.95060699999999
5293,1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2092,123.0,A9,613 WEST 145 STREET,,10031.0,1.0,0.0,1.0,1482.0,2944.0,1910.0,1,A9,0.0,4/30/19,0.0,40.827035,-73.95115
5448,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,281.0,A1,55 ADRIAN AVENUE,,10463.0,1.0,0.0,1.0,2500.0,1938.0,1910.0,1,A1,0.0,4/2/19,0.0,40.8773218,-73.91096859999999
5449,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,369.0,A9,40 ADRIAN AVENUE,,10463.0,1.0,0.0,1.0,938.0,1440.0,1925.0,1,A9,739000.0,3/6/19,513.1944444444445,40.8766934,-73.91121559999999
5450,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,389.0,A9,36 VAN CORLEAR PLACE,,10463.0,1.0,0.0,1.0,1254.0,1528.0,1925.0,1,A9,710000.0,11/19/19,464.65968586387436,40.8766711,-73.91092499999999
5451,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,389.0,A9,36 VAN CORLEAR PLACE,,10463.0,1.0,0.0,1.0,1254.0,1528.0,1925.0,1,A9,375000.0,4/12/19,245.4188481675393,40.8766711,-73.91092499999999
5452,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,453.0,A1,45 FORT CHARLES PLACE,,10463.0,1.0,0.0,1.0,2500.0,1708.0,1930.0,1,A1,649000.0,8/5/19,379.9765807962529,40.8762471,-73.91009129999999
5453,1,INWOOD,01 ONE FAMILY DWELLINGS,1,2243,301.0,A5,535 WEST 217 STREET,,10034.0,1.0,0.0,1.0,3167.0,2167.0,1920.0,1,A5,1530000.0,10/8/19,706.0452238117211,40.871517,-73.916271
6109,1,LOWER EAST SIDE,01 ONE FAMILY DWELLINGS,1,288,42.0,A9,513 GRAND STREET,,10002.0,1.0,0.0,1.0,818.0,1236.0,1899.0,1,A9,0.0,10/23/19,0.0,40.71440750000001,-73.9820948
6728,1,MANHATTAN VALLEY,01 ONE FAMILY DWELLINGS,1,1841,115.0,A4,127 MANHATTAN AVENUE,,10025.0,1.0,0.0,1.0,1250.0,2560.0,1905.0,1,A4,0.0,10/11/19,0.0,40.7982827,-73.962008
7185,1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1323,42.0,S1,216 EAST 50TH STREET,,10022.0,1.0,1.0,2.0,1296.0,3000.0,1899.0,1,S1,3400000.0,5/28/19,1133.3333333333333,40.755334,-73.970134
7186,1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1343,44.0,A4,318 EAST 51ST STREET,,10022.0,1.0,0.0,1.0,1320.0,3510.0,1899.0,1,A4,0.0,8/19/19,0.0,40.7550569,-73.9673294
7187,1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1343,48.0,S1,306 EAST 51ST STREET,,10022.0,1.0,1.0,2.0,1858.0,4140.0,1899.0,1,S1,4800000.0,2/7/19,1159.4202898550725,40.75515240000001,-73.9676623
7188,1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1351,10.0,S1,321-323 EAST 58TH STREET,,10022.0,1.0,1.0,2.0,3100.0,5268.0,1958.0,1,S1,0.0,2/1/19,0.0,40.7595955,-73.9639213
7189,1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1372,26.0,A7,1 SUTTON PLACE,,10022.0,1.0,0.0,1.0,1434.0,5339.0,1920.0,1,A7,13000000.0,10/8/19,2434.9129050383967,40.7568319,-73.96077079999999
9177,1,MURRAY HILL,01 ONE FAMILY DWELLINGS,1,885,65.0,A4,155 LEXINGTON AVENUE,,10016.0,1.0,0.0,1.0,1500.0,4125.0,1910.0,1,A4,4400000.0,1/23/19,1066.6666666666667,40.7436099,-73.9815064
9178,1,MURRAY HILL,01 ONE FAMILY DWELLINGS,1,893,58.0,A4,150 EAST 38TH STREET,,10016.0,1.0,0.0,1.0,1975.0,3680.0,1901.0,1,A4,3468750.0,3/18/19,942.595108695652,40.7484643,-73.97719479999999
9806,1,SOHO,01 ONE FAMILY DWELLINGS,1,490,27.0,A7,50 SULLIVAN STREET,,10012.0,1.0,0.0,1.0,2286.0,4607.0,2014.0,1,A7,12250000.0,9/13/19,2658.997178207076,40.7249731,-74.0037505
9807,1,SOHO,01 ONE FAMILY DWELLINGS,1,490,29.0,A7,30 SULLIVAN STREET,,10012.0,1.0,0.0,1.0,0.0,0.0,2015.0,1,A7,12296500.0,4/5/19,inf,40.7249141,-74.00391189999999
9808,1,SOHO,01 ONE FAMILY DWELLINGS,1,595,74.0,A7,512 GREENWICH STREET,,10013.0,1.0,0.0,1.0,756.0,4378.0,1900.0,1,A7,0.0,2/26/19,0.0,40.7258327,-74.00932089999999
10181,1,SOUTHBRIDGE,01 ONE FAMILY DWELLINGS,1,97,144.0,A9,138 BEEKMAN STREET,,10038.0,1.0,0.0,1.0,469.0,1880.0,1988.0,1,A9,3075000.0,3/7/19,1635.6382978723404,40.7074485,-74.00277899999999
10283,1,TRIBECA,01 ONE FAMILY DWELLINGS,1,142,18.0,A9,39 HARRISON STREET,,10013.0,1.0,0.0,1.0,1480.0,3080.0,1899.0,1,A9,4950000.0,6/26/19,1607.142857142857,40.718539,-74.011006
10284,1,TRIBECA,01 ONE FAMILY DWELLINGS,1,189,39.0,A4,232 WEST BROADWAY,,10013.0,1.0,0.0,1.0,2802.0,10916.0,1915.0,1,A4,26777133.0,6/25/19,2453.0169475998528,40.7195821,-74.00628809999999
10773,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1378,46.0,A4,36 EAST 64TH STREET,,10065.0,1.0,0.0,1.0,1707.0,5808.0,1905.0,1,A4,9737500.0,10/30/19,1676.5668044077136,40.7662905,-73.968651
10774,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1380,48.0,A4,46 EAST 66TH STREET,,10065.0,1.0,0.0,1.0,2008.0,5900.0,1920.0,1,A4,17700000.0,5/8/19,3000.0,40.767629,-73.9678586
10775,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1381,61.0,A7,14 EAST 67TH STREET,,10065.0,1.0,0.0,1.0,4820.0,14240.0,1905.0,1,A7,77100000.0,6/4/19,5414.32584269663,40.7686097,-73.9684797
10776,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1382,32.0,A4,49 EAST 67TH STREET,,10065.0,1.0,0.0,1.0,2008.0,6340.0,1910.0,1,A4,11750000.0,10/23/19,1853.312302839117,40.768329,-73.96670329999999
10777,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1383,32.0,A4,49 EAST 68TH STREET,,10065.0,1.0,0.0,1.0,2510.0,8200.0,1910.0,1,A4,19000000.0,2/19/19,2317.0731707317073,40.7689719,-73.9661375
10778,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1395,45.0,A4,160 EAST 61ST STREET,,10065.0,1.0,0.0,1.0,1908.0,4750.0,1899.0,1,A4,9995000.0,6/27/19,2104.2105263157896,40.7630151,-73.9666032
10779,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1395,145.0,A4,158 EAST 61ST ST,,10065.0,1.0,0.0,1.0,1908.0,4848.0,1910.0,1,A4,0.0,10/1/19,0.0,40.7629639,-73.966636
10780,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1397,23.0,S1,143 EAST 62ND STREET,,10065.0,1.0,1.0,2.0,1170.0,3120.0,1910.0,1,S1,0.0,1/4/19,0.0,40.7641161,-73.96635169999999
10781,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1398,5.0,A4,101 EAST 63RD STREET,,10065.0,1.0,0.0,1.0,2510.0,7349.0,1970.0,1,A4,18000000.0,1/15/19,2449.3128316777797,40.7653475,-73.967277
10782,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1399,146.0,A4,140 EAST 65TH STREET,,10065.0,1.0,0.0,1.0,2008.0,6200.0,1899.0,1,A4,9750000.0,6/19/19,1572.5806451612902,40.765518,-73.964936
10783,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1405,145.0,A4,160 EAST 71ST STREET,,10021.0,1.0,0.0,1.0,1632.0,4314.0,1910.0,1,A4,8200000.0,4/16/19,1900.7881316643488,40.769272,-73.962085
10784,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1408,59.0,A7,134 EAST 74TH STREET,,10021.0,1.0,0.0,1.0,2556.0,9050.0,1901.0,1,A7,25250000.0,6/20/19,2790.055248618785,40.77183369999999,-73.961721
10785,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1412,68.0,S1,106 EAST 78TH STREET,,10075.0,1.0,1.0,2.0,1839.0,4344.0,1899.0,1,S1,7200000.0,6/10/19,1657.4585635359115,40.7746334,-73.9605124
10786,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1413,124.0,A4,159 EAST 78TH STREET,,10075.0,1.0,0.0,1.0,1839.0,2052.0,1899.0,1,A4,7225000.0,12/5/19,3520.955165692008,40.7742176,-73.9587707
10787,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1416,8.0,A4,215 EAST 61ST STREET,,10065.0,1.0,0.0,1.0,1808.0,5045.0,1905.0,1,A4,9999999.0,6/25/19,1982.1603567889001,40.7626133,-73.96479289999999
10788,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1416,20.0,A4,249 EAST 61ST STREET,,10065.0,1.0,0.0,1.0,1690.0,3731.0,1899.0,1,A4,0.0,2/28/19,0.0,40.7622287,-73.9638516
10789,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1416,29.0,A4,246 EAST 62ND STREET,,10065.0,1.0,0.0,1.0,1707.0,3368.0,1905.0,1,A4,6400000.0,3/8/19,1900.2375296912116,40.7625605,-73.9635988
10790,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1416,121.0,A4,253 EAST 61ST STREET,,10065.0,1.0,0.0,1.0,1386.0,2370.0,1899.0,1,A4,4600000.0,2/1/19,1940.9282700421938,40.7621835,-73.9638057
10791,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1426,140.0,A4,216 EAST 72ND STREET,,10021.0,1.0,0.0,1.0,1822.0,3457.0,1901.0,1,A4,8850000.0,1/31/19,2560.0231414521263,40.7692154,-73.95998519999999
10792,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,1,1427,16.0,A4,235 EAST 72ND STREET,,10021.0,1.0,0.0,1.0,1788.0,2634.0,1910.0,1,A4,10750000.0,12/17/19,4081.2452543659833,40.7693371,-73.9590991
