,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
3159,manhattan,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,523,38.0,"88 BLEECKER STREET, 5L",10012,1961,2,D4,750000.0,8/27/19,True,True,False,False,False,False
73390,staten_island,GRANT CITY,13 CONDOS - ELEVATOR APARTMENTS,3585,1032.0,"100 COLFAX AVENUE, 6E",10306,1961,2,R4,265000.0,7/30/19,True,False,False,True,False,False
21446,brooklyn,BRIGHTON BEACH,10 COOPS - ELEVATOR APARTMENTS,8680,1.0,"40 BRIGHTON 1ST ROAD, 9N",11235,1963,2,D4,365000.0,10/4/19,True,False,True,False,False,False
52805,queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,5411,10.0,155-13 DELAWARE AVENUE,11355,1910,1,A1,880000.0,12/11/19,True,False,False,False,False,True
46275,bronx,WILLIAMSBRIDGE,10 COOPS - ELEVATOR APARTMENTS,4845,11.0,"749 EAST 231 STREET, 5A",10466,1957,2,D4,85000.0,9/13/19,True,False,False,False,True,False
4010,manhattan,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS,636,22.0,"165 CHRISTOPHER STREET, 5AA",10014,1964,2,D4,795000.0,1/16/19,True,True,False,False,False,False
63993,queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,10669,105.0,88-28 212 PLACE,11427,1930,1,A1,610000.0,1/24/19,True,False,False,False,False,True
13184,manhattan,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1582,34.0,"530 EAST 86TH STREET, 9C",10028,1928,2,D4,4000000.0,6/27/19,True,True,False,False,False,False
310,manhattan,CHELSEA,10 COOPS - ELEVATOR APARTMENTS,770,48.0,"210 WEST 21ST STREET, 1FW",10011,1902,2,D4,625000.0,1/8/19,True,True,False,False,False,False
41630,bronx,KINGSBRIDGE/JEROME PARK,10 COOPS - ELEVATOR APARTMENTS,5770,69.0,"3636 GREYSTONE AVENUE, 6J",10463,1940,2,D4,480000.0,10/11/19,True,False,False,False,True,False
56316,queens,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2234,6.0,"110-20 71ST AVENUE, 604",11375,1951,2,D4,190000.0,2/25/19,True,False,False,False,False,True
53759,queens,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS,4410,56.0,"31-70 138TH STREET, 5E",11354,1959,2,D4,300000.0,10/17/19,True,False,False,False,False,True
31156,brooklyn,GRAVESEND,13 CONDOS - ELEVATOR APARTMENTS,7116,1031.0,"2720 86TH STREET, 2B",11223,2007,2,R4,725000.0,7/8/19,True,False,True,False,False,False
8382,manhattan,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS,1003,1216.0,"150 WEST 51ST STREET, 14-16",10019,,2,R4,635000.0,5/8/19,True,True,False,False,False,False
46402,queens,ARVERNE,01 ONE FAMILY DWELLINGS,15834,23.0,344 BEACH 44TH ST,11691,1920,1,A1,234500.0,10/24/19,True,False,False,False,False,True
35628,brooklyn,PARK SLOPE SOUTH,13 CONDOS - ELEVATOR APARTMENTS,1041,1214.0,"155 15TH STREET, 3E",11215,2008,2,R4,700000.0,12/5/19,True,False,True,False,False,False
20515,brooklyn,BOROUGH PARK,02 TWO FAMILY DWELLINGS,5538,64.0,1647 64TH STREET,11204,1935,1,B1,1100000.0,6/11/19,True,False,True,False,False,False
29453,brooklyn,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,4621,48.0,191 EAST 51ST STREET,11203,1930,1,B1,570000.0,9/18/19,True,False,True,False,False,False
11895,manhattan,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,1420,1145.0,"200 EAST 66TH STREET, B1701",10065,1951,2,R4,1816425.0,10/16/19,True,True,False,False,False,False
43959,bronx,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS,5908,203.0,"645 WEST 239TH STREET, 1A",10463,1953,2,D4,185000.0,9/11/19,True,False,False,False,True,False
